Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3512308;Interior;Conchas;3965;86;;;
3512407;Interior;Cordeirópolis;6045;117;;;
3512506;Interior;Coroados;1589;24;;;
3512605;Interior;Coronel Macedo;692;30;;;
3512704;Interior;Corumbataí;1077;9;;;
3512803;Interior;Cosmópolis;8041;198;;;
3512902;Interior;Cosmorama;2268;48;;;
3513009;RMSP (exceto capital);Cotia;30383;817;;;
3513108;Interior;Cravinhos;2280;118;;;
3513207;Interior;Cristais Paulista;1307;20;;;
3513306;Interior;Cruzália;226;6;;;
3513405;Interior;Cruzeiro;7231;249;;;
3513504;Interior;Cubatão;17827;549;;;
3513603;Interior;Cunha;1194;45;;;
3513702;Interior;Descalvado;9280;106;;;
3513801;RMSP (exceto capital);Diadema;31806;1580;;;
3513850;Interior;Dirce Reis;329;6;;;
3513900;Interior;Divinolândia;2284;49;;;
3514007;Interior;Dobrada;636;13;;;
3514106;Interior;Dois Córregos;2092;46;;;
3514205;Interior;Dolcinópolis;472;9;;;
3514304;Interior;Dourado;2754;27;;;
3514403;Interior;Dracena;12155;305;;;
3514502;Interior;Duartina;2300;35;;;
3514601;Interior;Dumont;2784;30;;;
3514700;Interior;Echaporã;821;29;;;
3514809;Interior;Eldorado;3400;34;;;
3514908;Interior;Elias Fausto;2790;42;;;
3514924;Interior;Elisiário;634;13;;;
3514957;Interior;Embaúba;133;11;;;
3515004;RMSP (exceto capital);Embu das Artes;11301;756;;;
3515103;RMSP (exceto capital);Embu-Guaçu;5947;242;;;
3515129;Interior;Emilianópolis;921;10;;;
3515152;Interior;Engenheiro Coelho;4533;66;;;
3515186;Interior;Espírito Santo do Pinhal;14614;142;;;
3515194;Interior;Espírito Santo do Turvo;818;11;;;
3515202;Interior;Estrela d'Oeste;3310;40;;;
3515301;Interior;Estrela do Norte;749;9;;;
3515350;Interior;Euclides da Cunha Paulista;539;19;;;
3515400;Interior;Fartura;4469;68;;;
3515509;Interior;Fernandópolis;19279;421;;;
3515608;Interior;Fernando Prestes;1441;15;;;
3515657;Interior;Fernão;770;5;;;
3515707;RMSP (exceto capital);Ferraz de Vasconcelos;10767;533;;;
3515806;Interior;Flora Rica;149;10;;;
3515905;Interior;Floreal;1019;9;;;
3516002;Interior;Flórida Paulista;3560;41;;;
3516101;Interior;Florínea;447;17;;;
3516200;Interior;Franca;39283;1320;;;
3516309;RMSP (exceto capital);Francisco Morato;15771;479;;;
3516408;RMSP (exceto capital);Franco da Rocha;18680;445;;;
3516507;Interior;Gabriel Monteiro;1246;8;;;
3516606;Interior;Gália;1135;24;;;
3516705;Interior;Garça;12503;173;;;
3516804;Interior;Gastão Vidigal;650;18;;;
3516853;Interior;Gavião Peixoto;2168;24;;;
3516903;Interior;General Salgado;1595;50;;;
3517000;Interior;Getulina;1073;38;;;
3517109;Interior;Glicério;1407;23;;;
3517208;Interior;Guaiçara;1877;31;;;
3517307;Interior;Guaimbê;1080;9;;;
3517406;Interior;Guaíra;9718;245;;;
3517505;Interior;Guapiaçu;2483;100;;;
3517604;Interior;Guapiara;3118;96;;;
3517703;Interior;Guará;3846;118;;;
3517802;Interior;Guaraçaí;1662;30;;;
3517901;Interior;Guaraci;2648;32;;;
3518008;Interior;Guarani d'Oeste;933;9;;;
3518107;Interior;Guarantã;322;25;;;
3518206;Interior;Guararapes;10100;137;;;
3518305;RMSP (exceto capital);Guararema;2594;112;;;
3518404;Interior;Guaratinguetá;17382;393;;;
3518503;Interior;Guareí;4510;40;;;
3518602;Interior;Guariba;5394;132;;;
3518701;Interior;Guarujá;32111;1562;;;
3518800;RMSP (exceto capital);Guarulhos;109557;5616;;;
3518859;Interior;Guatapará;1246;28;;;
3518909;Interior;Guzolândia;898;34;;;
3519006;Interior;Herculândia;1259;34;;;
3519055;Interior;Holambra;3902;23;;;
3519071;Interior;Hortolândia;40555;896;;;
3519105;Interior;Iacanga;1926;34;;;
3519204;Interior;Iacri;1827;25;;;
3519253;Interior;Iaras;302;24;;;
3519303;Interior;Ibaté;6264;114;;;
3519402;Interior;Ibirá;2727;54;;;
3519501;Interior;Ibirarema;1227;38;;;
3519600;Interior;Ibitinga;15900;311;;;
3519709;Interior;Ibiúna;5356;163;;;
3519808;Interior;Icém;2095;40;;;
3519907;Interior;Iepê;1848;36;;;
3520004;Interior;Igaraçu do Tietê;5598;76;;;
3520103;Interior;Igarapava;1418;109;;;
3520202;Interior;Igaratá;2473;42;;;
3520301;Interior;Iguape;5794;125;;;
3520400;Interior;Ilhabela;7500;52;;;
3520426;Interior;Ilha Comprida;4251;65;;;
3520442;Interior;Ilha Solteira;4461;123;;;
3520509;Interior;Indaiatuba;28550;887;;;
3520608;Interior;Indiana;459;14;;;
3520707;Interior;Indiaporã;1359;14;;;
3520806;Interior;Inúbia Paulista;1373;22;;;
3520905;Interior;Ipaussu;4665;57;;;
3521002;Interior;Iperó;6293;78;;;
3521101;Interior;Ipeúna;789;24;;;
3521150;Interior;Ipiguá;2042;33;;;
3521200;Interior;Iporanga;954;9;;;
3521309;Interior;Ipuã;2830;70;;;
3521408;Interior;Iracemápolis;6915;113;;;
3521507;Interior;Irapuã;1571;34;;;
3521606;Interior;Irapuru;1914;44;;;
3521705;Interior;Itaberá;5867;80;;;
3521804;Interior;Itaí;7696;95;;;
