Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3552502;RMSP (exceto capital);Suzano;29538;1055;;;
3552551;Interior;Suzanápolis;504;12;;;
3552601;Interior;Tabapuã;3398;75;;;
3552700;Interior;Tabatinga;3057;60;;;
3552809;RMSP (exceto capital);Taboão da Serra;19993;1054;;;
3552908;Interior;Taciba;864;27;;;
3553005;Interior;Taguaí;3501;47;;;
3553104;Interior;Taiaçu;1468;19;;;
3553203;Interior;Taiúva;1102;19;;;
3553302;Interior;Tambaú;5458;63;;;
3553401;Interior;Tanabi;7181;138;;;
3553500;Interior;Tapiraí;873;11;;;
3553609;Interior;Tapiratiba;3097;43;;;
3553658;Interior;Taquaral;403;13;;;
3553708;Interior;Taquaritinga;14811;251;;;
3553807;Interior;Taquarituba;7355;121;;;
3553856;Interior;Taquarivaí;1020;22;;;
3553906;Interior;Tarabai;1016;36;;;
3553955;Interior;Tarumã;1822;58;;;
3554003;Interior;Tatuí;22217;535;;;
3554102;Interior;Taubaté;38907;1199;;;
3554201;Interior;Tejupá;432;13;;;
3554300;Interior;Teodoro Sampaio;4025;61;;;
3554409;Interior;Terra Roxa;1393;40;;;
3554508;Interior;Tietê;8882;132;;;
3554607;Interior;Timburi;879;16;;;
3554656;Interior;Torre de Pedra;235;13;;;
3554706;Interior;Torrinha;3996;27;;;
3554755;Interior;Trabiju;459;5;;;
3554805;Interior;Tremembé;2985;72;;;
3554904;Interior;Três Fronteiras;1963;39;;;
3554953;Interior;Tuiuti;1321;23;;;
3555000;Interior;Tupã;8241;340;;;
3555109;Interior;Tupi Paulista;4365;56;;;
3555208;Interior;Turiúba;564;4;;;
3555307;Interior;Turmalina;595;7;;;
3555356;Interior;Ubarana;1731;24;;;
3555406;Interior;Ubatuba;12781;160;;;
3555505;Interior;Ubirajara;581;15;;;
3555604;Interior;Uchoa;2100;44;;;
3555703;Interior;União Paulista;319;7;;;
3555802;Interior;Urânia;3516;52;;;
3555901;Interior;Uru;432;6;;;
3556008;Interior;Urupês;945;59;;;
3556107;Interior;Valentim Gentil;5067;78;;;
3556206;Interior;Valinhos;25819;555;;;
3556305;Interior;Valparaíso;5486;91;;;
3556354;Interior;Vargem;651;27;;;
3556404;Interior;Vargem Grande do Sul;6523;120;;;
3556453;RMSP (exceto capital);Vargem Grande Paulista;7121;140;;;
3556503;Interior;Várzea Paulista;14936;314;;;
3556602;Interior;Vera Cruz;724;50;;;
3556701;Interior;Vinhedo;18908;254;;;
3556800;Interior;Viradouro;3641;110;;;
3556909;Interior;Vista Alegre do Alto;1919;25;;;
3556958;Interior;Vitória Brasil;774;11;;;
3557006;Interior;Votorantim;12596;577;;;
3557105;Interior;Votuporanga;33303;511;;;
3557154;Interior;Zacarias;326;12;;;
3557204;Interior;Chavantes;2794;62;;;
3557303;Interior;Estiva Gerbi;1270;37;;;
;;Ignorado;269;0;;;
;;;;;;;
